Folder,File,Spots,Area,DMax,Dmin,Smax,Smin,Garbage
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well3_Object3.tif_projection.tif,30,14589530,3421.074,111.7355,1885,117,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well3_Object5.tif_projection.tif,470,1661329,13855.4512,119.9101,2775,161,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well2_Object1.tif_projection.tif,1,11725929,2013.9568,109.4776,2605,111,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well1_Object0.tif_projection.tif,0,5639635,556.4196,117.9215,1774,139,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well1_Object1.tif_projection.tif,606,1550072,11813.2969,134.8333,2696,188,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well4_Object5.tif_projection.tif,408,1784776,12191.7646,114.2677,2355,139,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well1_Object2.tif_projection.tif,0,12130186,592.7121,119.5715,2084,132,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well4_Object1.tif_projection.tif,0,12031012,445.7731,111.0777,1904,127,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well1_Object4.tif_projection.tif,77,2145574,6118.832,106.7368,2838,113,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well4_Object0.tif_projection.tif,226,1320374,9466.7422,133.4513,3396,170,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well1_Object2.tif_projection.tif,7,7859010,2994.8081,114.904,5434,127,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well4_Object0.tif_projection.tif,92,12210432,3181.4763,120.6253,2445,153,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well4_Object1.tif_projection.tif,1,7163437,1031.2363,119.7521,1763,138,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well1_Object1.tif_projection.tif,54,1361592,6857.8237,118.8812,2383,137,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well2_Object4.tif_projection.tif,13,11617864,1375.8296,124.9659,2355,130,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well2_Object3.tif_projection.tif,0,7133350,684.158,114.1072,2040,139,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well4_Object5.tif_projection.tif,5,8093981,1307.9578,113.0868,1793,113,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well3_Object6.tif_projection.tif,2,8554206,5839.3008,121.2779,4034,163,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well3_Object4.tif_projection.tif,120,1849117,25316.6953,119.2826,3112,173,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well4_Object1.tif_projection.tif,180,1535866,12611.9365,134.1862,3549,203,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well3_Object1.tif_projection.tif,32,26320090,4494.1797,111.4076,1980,119,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well4_Object3.tif_projection.tif,195,18967750,4799.4517,112.856,2998,121,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well2_Object1.tif_projection.tif,0,5425879,384.0451,117.2965,1957,130,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well2_Object0.tif_projection.tif,3,9391544,11571.9814,107.9515,2296,123,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well3_Object0.tif_projection.tif,1,11969595,2681.6143,128.9918,2087,153,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well2_Object0.tif_projection.tif,36,1662612,2399.0574,143.4825,3170,158,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well1_Object3.tif_projection.tif,33,1204971,4094.835,110.912,2477,127,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well3_Object4.tif_projection.tif,7,12829214,2089.6997,112.4645,2254,128,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well1_Object0.tif_projection.tif,2,13865383,1631.9396,108.0399,1982,116,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well1_Object0.tif_projection.tif,3,1523724,1306.0768,112.2594,3651,147,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well1_Object0.tif_projection.tif,367,1392152,17511.2734,123.0007,2771,162,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well4_Object1.tif_projection.tif,13,10158347,1396.4039,112.56,1666,110,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well1_Object1.tif_projection.tif,1,9265721,3767.437,109.9713,1622,120,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well1_Object0.tif_projection.tif,52,19367238,4925.2832,109.3919,1902,120,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well3_Object5.tif_projection.tif,1,8268188,2891.1248,120.2793,2012,167,
