,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
2776,20200401,NE,1826341.0,0.05475428739758895,31.86699526539677,0.2190171495903558,201.76954906011528,401,2020-04-01
2770,20200401,MO,5988927.0,0.066789927477827,24.812458058012727,0.3005546736502215,290.98701653902276,401,2020-04-01
2769,20200401,MN,5303925.0,0.09426980962211946,26.602940275362112,0.3205173527152062,399.5343071404667,401,2020-04-01
2768,20200401,MI,9883640.0,0.7891829326037776,43.21282442500941,3.4096749780445266,405.9739124452125,401,2020-04-01
2762,20200401,KS,2853118.0,0.035049374053228784,16.4381564309643,0.3504937405322879,206.54596129567722,401,2020-04-01
2761,20200401,IN,6483802.0,0.2467687939884654,15.453895723527646,1.0024982255781407,221.7063383490119,401,2020-04-01
2760,20200401,IL,12830632.0,0.32734163056036525,40.20846362049819,1.0989326168812261,314.74677163213784,401,2020-04-01
2758,20200401,IA,3046355.0,0.06565223028832819,15.362621887468796,0.2954350362974768,257.7834822271206,401,2020-04-01
2726,20200402,OH,11536504.0,0.13869019592070525,46.6259102410921,0.7021191168485704,302.6740163224492,402,2020-04-02
2720,20200402,NE,1826341.0,0.05475428739758895,29.512560907300447,0.27377143698794476,231.28210996741575,402,2020-04-02
2714,20200402,MO,5988927.0,0.01669748186945675,37.66951909749443,0.3172521555196782,328.65653563651716,402,2020-04-02
2713,20200402,MN,5303925.0,0.018853961924423894,22.681316195081944,0.33937131463963005,422.2156233355486,402,2020-04-02
2712,20200402,MI,9883640.0,0.8094183924141309,44.11330238657013,4.219093370458657,450.0872148317826,402,2020-04-02
2706,20200402,KS,2853118.0,0.10514812215968634,25.16545057021827,0.4556418626919742,231.71141186589549,402,2020-04-02
2705,20200402,IN,6483802.0,0.20049964511562815,29.45802478237306,1.202997870693769,251.16436313138493,402,2020-04-02
2704,20200402,IL,12830632.0,0.1247015735468058,25.501471790321784,1.223634190428032,340.24824342245967,402,2020-04-02
2702,20200402,IA,3046355.0,0.06565223028832819,26.753283842493733,0.36108726658580503,284.5367660696143,402,2020-04-02
2670,20200403,OH,11536504.0,0.08668137245044079,29.96575045611738,0.7888004892990111,332.6397667785665,403,2020-04-03
2664,20200403,NE,1826341.0,0.05475428739758895,29.676823769493208,0.3285257243855337,260.95893373690893,403,2020-04-03
2658,20200403,MO,5988927.0,0.0,29.838400100719213,0.3172521555196782,358.4949357372364,403,2020-04-03
2657,20200403,MN,5303925.0,0.07541584769769558,34.559312207469,0.41478716233732565,456.7749355430177,403,2020-04-03
2656,20200403,MI,9883640.0,0.6272992541209514,44.89236758926873,4.846392624579608,494.9795824210514,403,2020-04-03
2650,20200403,KS,2853118.0,0.14019749621291513,16.22786018664493,0.5958393589048894,247.93927205254042,403,2020-04-03
2649,20200403,IN,6483802.0,0.3701531909826981,23.905726917632585,1.573151061676467,275.07009004901755,403,2020-04-03
2648,20200403,IL,12830632.0,0.41307396237379423,34.23058193859819,1.6367081528018261,374.47882536105783,403,2020-04-03
2646,20200403,IA,3046355.0,0.0,25.76850038816881,0.36108726658580503,310.30526645778315,403,2020-04-03
