dapi_int,red_int,green_int
1312.75,2284.3933,1176.886
170,2285.7754,193.94934
19.25,2288.8481,279.7756
913.25,2292.9946,2619.6506
184.5,2293.1704,83.23436
435,2293.5127,161.10638
541.25,2299.8093,85.523224
359.5,2302.7812,141.07687
348.25,2303.0142,691.77155
759.5,2303.11,191.86325
461.5,2304.5437,401.3754
854.25,2308.8943,-92.79398
367.5,2310.7827,677.941
386.75,2311.195,128.44576
7.5,2314.1584,83.43999
8.25,2315.361,99.55222
13.25,2316.1016,48.67447
255.5,2316.7449,233.45802
1282.5,2317.865,-137.16205
440.5,2318.2737,224.21248
290.25,2320.3464,454.0299
136,2320.705,132.72835
323,2322.7708,129.38638
47.5,2323.5708,795.2215
16,2326.1462,172.47939
219.75,2328.4358,1298.7538
230.75,2330.9802,252.27385
174.75,2331.6375,768.2758
399,2332.4143,701.9235
929,2332.8772,54.738792
345.25,2334.6357,329.793
19,2339.829,308.74582
2.75,2340.5715,66.526054
433.5,2340.7136,107.08086
132,2340.7676,503.23898
30.5,2344.6035,482.69992
304,2345.04,227.41139
82,2355.9736,71.09162
228.75,2356.7017,620.28314
197.75,2360.9568,1642.9674
625.75,2362.971,96.6296
6.5,2366.8772,125.61131
324,2367.202,168.57524
222,2369.2844,519.7192
371.75,2369.954,153.22664
202.75,2375.5457,1655.896
25.5,2377.5164,217.59595
335.75,2378.515,545.70624
339.5,2380.5437,904.8318
164,2380.6128,563.9728
956.5,2380.6362,214.91502
7.25,2384.6748,316.0873
260.5,2386.285,104.64794
659,2386.6558,102.51698
343,2387.3503,170.19005
184.75,2387.4128,155.7622
452.75,2390.7246,269.33243
20.75,2391.1382,984.65967
90.75,2398.5183,236.64328
214.5,2398.8416,101.46536
62.5,2399.245,86.15296
0,2403.2312,142.67596
617.75,2407.7024,2558.546
504.25,2407.8518,566.47375
63,2412.1494,133.78363
6.75,2413.1929,163.73012
104.5,2413.346,275.67133
396,2414.1543,1167.5597
4.25,2414.3472,229.68277
485.5,2415.4702,220.83743
44,2418.7798,68.879234
137.75,2419.7454,921.609
448,2419.99,155.74596
4.5,2421.3096,76.73595
7,2421.4438,1008.4027
230.5,2423.7427,126.13276
221,2424.9243,390.72675
240,2425.929,287.3831
627.75,2428.4592,114.60132
726,2430.3677,551.35974
134.75,2433.0364,62.990463
493.25,2434.6416,233.24315
1138,2434.9214,186.90527
864.5,2435.4138,375.21225
297,2436.1157,1178.2264
311.25,2436.4365,358.89487
603,2438.951,74.1271
26,2440.089,80.26398
41.25,2441.9812,595.11584
425.5,2444.0625,1097.6276
212.25,2445.4617,158.1648
386,2454.2776,1200.9155
1131.75,2455.841,2609.9683
701,2457.555,1744.6808
16,2461.8232,97.84995
142,2465.9236,86.078636
175.75,2468.7097,161.08945
479,2469.5942,749.6438
483.75,2470.5623,617.12616
14.5,2470.7256,251.23347
106.5,2475.19,107.0748
490.5,2478.0354,214.91539
1075.5,2480.7808,3616.3628
145.25,2481.4844,181.00926
397.25,2482.6326,766.6241
724,2483.1807,404.88113
303,2484.4832,808.7138
221.5,2484.8936,918.4572
888,2489.968,167.00256
410.5,2490.6711,709.8633
609.75,2492.2783,134.27576
437.5,2492.7825,54.90093
267.25,2494.3818,159.278
53.75,2498.2363,130.216
423.25,2502.004,68.532295
31,2504.9634,791.24097
299.75,2506.6953,-33.599728
880.5,2507.4656,194.87659
14.75,2514.8096,236.5563
83.25,2515.3125,109.87825
800.75,2516.9097,55.70318
728.75,2524.7332,2349.5046
105.5,2525.0837,99.36217
243.25,2527.2693,401.80475
236,2530.255,87.75572
125.25,2533.309,150.10205
24.75,2533.782,576.19147
1,2537.5525,346.67432
133.75,2540.398,109.404
39,2541.1145,137.52919
416.75,2543.2656,833.9184
240.5,2548.532,230.78731
20.75,2552.6348,1638.3772
137.25,2552.9915,628.20386
256.75,2555.9077,682.4567
146.5,2556.7424,99.18723
43.5,2558.786,512.59265
127.75,2560.7795,2005.0758
106.5,2561.1555,249.42622
237.25,2561.6091,93.72392
10.25,2563.3616,98.778915
98,2563.8513,168.06046
56,2563.8823,60.193665
147,2565.3801,151.9516
686.25,2567.159,1663.493
107,2575.1238,145.71526
214,2585.0054,155.29218
290.75,2585.0679,1189.9917
258.75,2587.7441,442.36475
409.5,2588.3445,135.6693
1460.75,2589.0696,318.43793
100.25,2592.402,411.62253
303.75,2595.6697,480.80896
165.5,2596.7263,1276.6532
358,2599.8787,110.24261
531,2604.0525,378.84137
56.25,2608.6855,126.99356
121.25,2612.616,138.75447
386.25,2613.046,531.06177
533.25,2614.5728,239.06209
638.5,2616.1826,210.51855
6.5,2618.244,101.50217
21,2619.2075,169.00076
120.75,2619.5764,579.8256
431,2623.167,623.72864
632,2624.364,388.39062
537.25,2629.2834,954.3161
631.5,2630.429,594.38043
185.5,2630.6948,584.92224
465.25,2632.4597,164.23225
18.75,2632.7974,172.25981
40.25,2632.9722,130.50914
701.5,2634.3335,261.36285
86.25,2645.2305,110.828835
58,2649.6309,77.60917
921.75,2651.3313,82.602264
129,2651.5344,53.56473
189.25,2652.6157,175.34349
38.5,2658.7126,606.8419
72.5,2658.7737,104.67307
316,2663.8665,140.67918
289.5,2664.8765,295.50803
152.75,2666.0144,1266.6942
336,2666.5337,265.04642
758,2666.5625,83.70017
392.25,2666.8984,182.9781
100,2667.4749,143.97429
587,2668.6924,157.42378
100,2669.2217,348.97534
277.75,2669.9417,513.26715
370.5,2675.2273,115.72903
143,2675.358,137.94211
185,2675.9275,243.31717
374.25,2678.807,387.89398
47.75,2682.9568,475.2234
41,2684.074,130.56583
435.5,2684.2695,139.56429
355.75,2688.7444,197.56233
497.75,2688.91,-157.25293
193.75,2689.7852,406.12698
643,2692.012,175.0494
