,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
11949,20200304,IL,12830632.0,0.0,0.0,0.0,0.9976125883744464,304,2020-03-04
11948,20200304,GA,9687653.0,0.0,0.0,0.0,0.020644835235118352,304,2020-03-04
11947,20200304,FL,18801310.0,0.0,0.0,0.0,0.13828823629842815,304,2020-03-04
11946,20200304,CA,37253956.0,0.0,0.0,0.0,1.3824035224608093,304,2020-03-04
11945,20200304,AZ,6392017.0,0.0,0.0,0.0,0.4536909085191732,304,2020-03-04
11944,20200305,WI,5686986.0,0.0,0.0,0.0,0.3516801342574081,305,2020-03-05
11943,20200305,WA,6724540.0,0.059483622671587945,5.561718719793473,0.2974181133579397,17.190766952088914,305,2020-03-05
11942,20200305,VA,8001024.0,0.0,0.012498400204773788,0.0,80.65217652140527,305,2020-03-05
11941,20200305,TX,25145561.0,0.0,0.0,0.0,0.00397684505825899,305,2020-03-05
11940,20200305,TN,6346105.0,0.0,0.0,0.0,0.0157576970440924,305,2020-03-05
11939,20200305,SC,4625364.0,0.0,0.0,0.0,0.10809960037739733,305,2020-03-05
11938,20200305,RI,1052567.0,0.0,1.1400699432910208,0.0,1.8051107435441165,305,2020-03-05
11937,20200305,OR,3831074.0,0.0,0.4176374562328997,0.0,1.2529123686986992,305,2020-03-05
11936,20200305,OH,11536504.0,0.0,0.0,0.0,0.06067696071530856,305,2020-03-05
11935,20200305,NY,19378102.0,0.0,0.22706042108767927,0.0,0.5057254833316492,305,2020-03-05
11934,20200305,NV,2700551.0,0.0,0.0,0.0,0.5554422042020314,305,2020-03-05
11933,20200305,NJ,8791894.0,0.0,0.011374113473160618,0.0,0.011374113473160618,305,2020-03-05
11932,20200305,NH,1316470.0,0.0,0.2278821393575243,0.0,0.6836464180725729,305,2020-03-05
11931,20200305,NE,1826341.0,0.0,0.0,0.0,0.9308228857590122,305,2020-03-05
11930,20200305,NC,9535483.0,0.0,0.0,0.0,0.010487145748149308,305,2020-03-05
11929,20200305,MI,9883640.0,0.0,0.34400281677600564,0.0,1.0927148297590765,305,2020-03-05
11928,20200305,MD,5773552.0,0.0,0.0,0.0,0.2944461225948948,305,2020-03-05
11927,20200305,MA,6547629.0,0.0,0.5498173460958158,0.0,1.5578158139381448,305,2020-03-05
11926,20200305,IL,12830632.0,0.0,0.32734163056036525,0.0,1.3249542189348116,305,2020-03-05
11925,20200305,GA,9687653.0,0.0,0.0,0.0,0.020644835235118352,305,2020-03-05
11924,20200305,FL,18801310.0,0.0,0.07446289646838439,0.0,0.21275113276681254,305,2020-03-05
11923,20200305,DC,601723.0,0.0,0.0,0.0,0.9971365561894758,305,2020-03-05
11922,20200305,CO,5029196.0,0.0,0.0,0.0,0.0,305,2020-03-05
